Elevetion	Water_body	Bulinus	Biom	BulBio	PH	T0C	E.C.µs.cm	TDS.mg.l	D.O.mg.l	SO4	Cl	NO2	NO3	NH4	PO4	TN	TP	TH	CaH	Ca	Mg	Na	K	Pb	Cd	Mn	Fe	Zn
1028	1	1	0	0	7.07	23	180.5	87.8	3.42	26.57	9.26	0.13	0.22	1.37	1	2.01	1.18	82	62	24.8	4.27	0.01	0.02	0.1	0.03	0	0	0.99
1048	1	1	0	0	7.2	26	410.5	201.95	2.55	28.76	13.89	0.07	0.07	1.31	0.44	1.7	0.52	184	32	12.8	32.47	0.01	0.02	0.03	0.02	0	0.02	0.89
960	1	1	0	0	7.54	28	537	255	6.46	17.95	23.15	0.1	0.09	1.6	0.49	2.1	0.58	286	40	16	52.55	0.02	0.02	0.04	0.07	0	0.03	2.05
957	1	1	0	0	7.54	29	1013	491	4.44	12.16	23.15	0	0.05	1.67	0.4	2.02	0.47	406	184	73.6	47.42	0.02	0.02	0.04	0.03	0	0.01	1.44
1616	1	1	1	1	7.56	19.7	30.1	15.38	3.78	15.48	9.72	0	0.19	1.31	0.32	1.77	0.38	80	36	14.4	9.4	0	0	0.07	0.45	0	0.02	3.31
1477	2	0	1	0	7.46	24.5	1010	504	7.37	28.81	37.96	0	0	1.79	0.45	2.11	0.53	360	84	33.6	58.95	0.02	0.35	0.43	0.21	0	0.04	4.29
1463	2	0	0	0	7.56	26.5	1020	501	7.26	29.84	37.04	0	0	2.12	0.46	2.49	0.54	370	64	25.6	65.36	0.02	0.35	0.24	0.15	0	0.04	1.13
1463	2	0	1	0	7.63	27.7	1076	509	11.2	28.7	39.35	0.15	0.09	1.42	0.46	1.96	0.54	344	56	22.4	61.52	0.02	0.36	0.43	0.31	0	0.05	1.33
1459	2	0	0	0	8.21	22.3	991	506	6.65	31.44	43.98	0	0	3.3	0.37	3.88	0.44	340	68	27.2	58.1	0.02	0.32	1.24	0.06	0	0.05	1.05
1616	2	0	0	0	8.09	23.3	1016	521	6.56	27.87	33.33	0	0.08	2	0.53	2.44	0.63	364	116	46.4	52.97	0.02	0.32	0.66	0.23	0	0.06	1.86
1456	2	0	0	0	8.8	26	989	494	6.33	29.39	34.72	0	0	1.55	0.33	1.82	0.39	370	110	44	55.54	0.02	0.33	0.31	0.25	0	0.05	1.66
1466	2	0	0	0	8.16	25	1039	512	7.21	33.08	37.5	0	0.09	1.77	0.35	2.19	0.41	390	60	24	70.49	0.02	0.32	0.73	0.07	0	0.05	1.08
1463	2	0	0	0	7.87	26	1054	512	5.76	32.5	37.96	0	0	2.43	0.52	2.86	0.61	364	124	49.6	51.26	0.02	0.31	0.29	0.12	0	0.06	1.06
1474	1	1	1	1	7.18	19.3	65.25	34.95	6.11	22.55	7.41	0.01	0.35	0.86	0.28	1.54	1.81	50	26	10.4	42.23	0.01	0.01	0.21	0.23	0	0.05	1.07
1466	1	0	0	0	7.51	20.8	33.2	16.97	7.6	0	6.48	0.06	0.54	1.31	0.26	2.15	2.53	28	10	4	18.12	0.01	0.01	0.41	0.06	0	0.06	1.09
1462	1	1	1	1	7.61	21	31.5	16.12	6.59	51.87	3.7	0.01	0.22	0.44	0.7	1.48	1.74	12	28	11.2	36.54	0.01	0.01	0.24	0.11	0	0.05	1.74
1475	2	0	0	0	8.02	23	993	555	7.41	50	7.05	0.03	0.5	0.5	0.49	1.56	2	16	13	5	42	0.01	0	0.14	0.16	0	0.04	1.3
1468	2	0	0	0	7.41	22.2	1018	516	7.93	49.5	6.05	0.02	0.45	0.45	0.55	1.45	1.9	18	24	9	40	0	0	0.15	0.07	0	0.03	1.09
1472	2	1	0	0	7.57	19	84.2	46.2	7.81	30.12	7.87	0.09	4.14	1.03	0.31	5.52	6.5	26	22	8.8	32.25	0.01	0.01	0.28	0.22	0	0.05	2.38
1476	1	1	1	1	7.57	21.4	95.7	48.3	4.04	55	6.48	0.06	2.41	2.42	1.48	6.58	7.74	302	16	6.4	83.92	0.01	0.02	0.53	0.23	0	0.05	1.16
1470	1	0	0	0	7.54	23	255	130.3	6.6	0	4.17	0.03	0.55	3.26	0.22	4.06	4.78	22	86	34.4	109.07	0.01	0.03	0.29	0.18	0	0.05	1.23
1463	2	0	0	0	7.51	25	1028	504	7.52	54.46	32.87	0.01	0.25	0.48	0.39	1.19	1.4	10	302	120.8	368.64	0.03	0.34	0.29	0.31	0	0.05	1.22
1371	1	1	0	0	6.72	20.8	1782	989	6.95	427.25	121.42	0	0.46	0.08	1.09	0.46	1.45	326.8	88.44	35.38	58.06	117	5.4	0.08	0	6.14	2.43	0.93
1362	1	0	1	0	6.77	28	195.9	255	7.89	216.25	62.56	0	0.54	0.01	6.95	1.06	9.26	134.36	57.88	23.15	18.63	59.67	1.52	0.1	0	1.11	1.05	0.7
1353	1	1	1	1	6.53	29	122.7	53.3	9.69	46.75	21.47	0.03	1.03	0.04	1.29	1.1	1.72	45.84	18.88	7.55	6.57	33.33	2.03	0.11	0	0.7	4.53	1.35
1347	1	1	1	1	6.78	20.1	159.5	89.4	5.84	62.5	23.75	0.01	0.41	0.01	0.72	0.42	0.97	81.6	30.08	12.03	12.55	39.67	3.17	0.19	0	0.27	2.08	0.96
1346	1	0	1	0	6.71	26	394	202.7	4.96	195.75	64.56	0	1.93	0.02	1.28	1.95	1.7	143.16	65.84	26.34	18.84	53	1.6	0.17	0	1.83	2.25	0.74
1433	1	1	1	1	6.47	22.6	375	197.1	5.46	92.5	54.96	0	0.83	0.02	0.05	0.86	0.07	132	70.68	28.27	14.94	61	0.41	0.27	0	0.46	1.19	0.67
